year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Boreal wet forest,73.58179224334444
2010,Deadwood,Cool temperate moist forest,72.52550928787792
2010,Deadwood,Cool temperate steppe,71.86384336371177
2010,Deadwood,Cool temperate wet forest,72.32585801122774
2010,Deadwood,Polar rain tundra,74.98652449145665
2010,Litter,Boreal wet forest,15.129277040731731
2010,Litter,Cool temperate moist forest,14.621455944186147
2010,Litter,Cool temperate steppe,14.26627872807116
2010,Litter,Cool temperate wet forest,14.543188974398754
2010,Litter,Polar rain tundra,15.742952191096144
2010,Soil Carbon,Boreal wet forest,66.56031915071483
2010,Soil Carbon,Cool temperate moist forest,65.23552361172699
2010,Soil Carbon,Cool temperate steppe,64.26328368247975
2010,Soil Carbon,Cool temperate wet forest,65.0517299942411
2010,Soil Carbon,Polar rain tundra,68.08729868972168
2010,Total Biomass,Boreal wet forest,7.802590274161619
2010,Total Biomass,Cool temperate moist forest,7.802590274163117
2010,Total Biomass,Cool temperate steppe,7.802590274162558
2010,Total Biomass,Cool temperate wet forest,7.802590274162502
2010,Total Biomass,Polar rain tundra,7.8025902741625615
