year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
2010,Deadwood,Boreal wet forest,381917247.44476736,5190377.072927468,73.58179224334447,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Cool temperate moist forest,485359000.61185896,6692252.221012421,72.52550928787807,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Cool temperate steppe,2993498.2755331434,41655.13748523966,71.86384336371181,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Cool temperate wet forest,13341652.530735172,184465.87289243183,72.32585801122754,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Polar rain tundra,31085577.499807224,414548.8500850433,74.98652449145649,"Modified Decay, Turnover and Spinup parameters"
2010,Litter,Boreal wet forest,78526652.68218188,5190377.072927468,15.129277040731724,"Modified Decay, Turnover and Spinup parameters"
2010,Litter,Cool temperate moist forest,97850471.0169151,6692252.221012421,14.621455944186161,"Modified Decay, Turnover and Spinup parameters"
2010,Litter,Cool temperate steppe,594263.8018205548,41655.13748523966,14.266278728071175,"Modified Decay, Turnover and Spinup parameters"
2010,Litter,Cool temperate wet forest,2682722.048802048,184465.87289243183,14.543188974398708,"Modified Decay, Turnover and Spinup parameters"
2010,Litter,Polar rain tundra,6526222.727762699,414548.8500850433,15.742952191096096,"Modified Decay, Turnover and Spinup parameters"
2010,Soil Carbon,Boreal wet forest,345473154.4866058,5190377.072927468,66.56031915071492,"Modified Decay, Turnover and Spinup parameters"
2010,Soil Carbon,Cool temperate moist forest,436572577.77948856,6692252.221012421,65.23552361172705,"Modified Decay, Turnover and Spinup parameters"
2010,Soil Carbon,Cool temperate steppe,2676895.9170466512,41655.13748523966,64.26328368247972,"Modified Decay, Turnover and Spinup parameters"
2010,Soil Carbon,Cool temperate wet forest,11999824.156550413,184465.87289243183,65.05172999424077,"Modified Decay, Turnover and Spinup parameters"
2010,Soil Carbon,Polar rain tundra,28225511.37722092,414548.8500850433,68.087298689721493,"Modified Decay, Turnover and Spinup parameters"
2010,Total Biomass,Boreal wet forest,40498385.668455385,5190377.072927468,7.8025902741616315,"Modified Decay, Turnover and Spinup parameters"
2010,Total Biomass,Cool temperate moist forest,52216902.0919181,6692252.221012421,7.802590274163127,"Modified Decay, Turnover and Spinup parameters"
2010,Total Biomass,Cool temperate steppe,325017.9706112355,41655.13748523966,7.802590274162565,"Modified Decay, Turnover and Spinup parameters"
2010,Total Biomass,Cool temperate wet forest,1439311.6257453836,184465.87289243183,7.802590274162495,"Modified Decay, Turnover and Spinup parameters"
2010,Total Biomass,Polar rain tundra,3234554.8258388257,414548.8500850433,7.802590274162545,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Boreal wet forest,365342854.6000513,5190377.072927468,70.38849961511393,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Cool temperate moist forest,463075414.79091907,6692252.221012421,69.1957504735026,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Cool temperate steppe,2850504.325740752,41655.13748523966,68.43103871043078,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Cool temperate wet forest,12724082.399862532,184465.87289243183,68.97797516878565,"Modified Decay, Turnover and Spinup parameters"
2011,Deadwood,Polar rain tundra,29825352.44129329,414548.8500850433,71.9465328034916,"Modified Decay, Turnover and Spinup parameters"
2011,Litter,Boreal wet forest,82005261.58384202,5190377.072927468,15.79948054479008,"Modified Decay, Turnover and Spinup parameters"
2011,Litter,Cool temperate moist forest,101954653.78672713,6692252.221012421,15.234729717240569,"Modified Decay, Turnover and Spinup parameters"
2011,Litter,Cool temperate steppe,618057.471709883,41655.13748523966,14.837484858353648,"Modified Decay, Turnover and Spinup parameters"
2011,Litter,Cool temperate wet forest,2794394.841817752,184465.87289243183,15.148573543721318,"Modified Decay, Turnover and Spinup parameters"
2011,Litter,Polar rain tundra,6831133.584225806,414548.8500850433,16.478476741219815,"Modified Decay, Turnover and Spinup parameters"
2011,Soil Carbon,Boreal wet forest,343771261.6600822,5190377.072927468,66.23242528046019,"Modified Decay, Turnover and Spinup parameters"
2011,Soil Carbon,Cool temperate moist forest,434500936.4619264,6692252.221012421,64.92596544668096,"Modified Decay, Turnover and Spinup parameters"
2011,Soil Carbon,Cool temperate steppe,2664600.8185338746,41655.13748523966,63.96811964617967,"Modified Decay, Turnover and Spinup parameters"
2011,Soil Carbon,Cool temperate wet forest,11943133.974308403,184465.87289243183,64.74440928850206,"Modified Decay, Turnover and Spinup parameters"
2011,Soil Carbon,Polar rain tundra,28081379.14705646,414548.8500850433,67.73961414027723,"Modified Decay, Turnover and Spinup parameters"
2011,Total Biomass,Boreal wet forest,63127753.41789809,5190377.072927468,12.162459977554747,"Modified Decay, Turnover and Spinup parameters"
2011,Total Biomass,Cool temperate moist forest,81394249.79777604,6692252.221012421,12.162459977556333,"Modified Decay, Turnover and Spinup parameters"
2011,Total Biomass,Cool temperate steppe,506628.9425238414,41655.13748523966,12.162459977556512,"Modified Decay, Turnover and Spinup parameters"
2011,Total Biomass,Cool temperate wet forest,2243558.7962792213,184465.87289243183,12.162459977556471,"Modified Decay, Turnover and Spinup parameters"
2011,Total Biomass,Polar rain tundra,5041933.79790146,414548.8500850433,12.162459977556624,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Boreal wet forest,350466832.3368329,5190377.072927468,67.5224222465138,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Cool temperate moist forest,443144632.0155028,6692252.221012421,66.21756284440558,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Cool temperate steppe,2722962.838314075,41655.13748523966,65.36919579917235,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Cool temperate wet forest,12171897.003152736,184465.87289243183,65.98454669309251,"Modified Decay, Turnover and Spinup parameters"
2012,Deadwood,Polar rain tundra,28690038.68125329,414548.8500850433,69.20785976216706,"Modified Decay, Turnover and Spinup parameters"
2012,Litter,Boreal wet forest,85104473.76759394,5190377.072927468,16.39658787248639,"Modified Decay, Turnover and Spinup parameters"
2012,Litter,Cool temperate moist forest,105560783.32000943,6692252.221012421,15.773581125434617,"Modified Decay, Turnover and Spinup parameters"
2012,Litter,Cool temperate steppe,638749.0901945629,41655.13748523966,15.334221149093583,"Modified Decay, Turnover and Spinup parameters"
2012,Litter,Cool temperate wet forest,2892244.736958196,184465.87289243183,15.679023396619058,"Modified Decay, Turnover and Spinup parameters"
2012,Litter,Polar rain tundra,7106942.427809966,414548.8500850433,17.143799642314775,"Modified Decay, Turnover and Spinup parameters"
2012,Soil Carbon,Boreal wet forest,342816203.6901208,5190377.072927468,66.04841977247062,"Modified Decay, Turnover and Spinup parameters"
2012,Soil Carbon,Cool temperate moist forest,433410055.7207024,6692252.221012421,64.76295892732134,"Modified Decay, Turnover and Spinup parameters"
2012,Soil Carbon,Cool temperate steppe,2658465.1813250743,41655.13748523966,63.820823596299284,"Modified Decay, Turnover and Spinup parameters"
2012,Soil Carbon,Cool temperate wet forest,11913584.549995542,184465.87289243183,64.58422017682777,"Modified Decay, Turnover and Spinup parameters"
2012,Soil Carbon,Polar rain tundra,27995250.381991323,414548.8500850433,67.53184908424711,"Modified Decay, Turnover and Spinup parameters"
2012,Total Biomass,Boreal wet forest,80979788.58680499,5190377.072927468,15.601908579857936,"Modified Decay, Turnover and Spinup parameters"
2012,Total Biomass,Cool temperate moist forest,104411907.3456022,6692252.221012421,15.601908579860204,"Modified Decay, Turnover and Spinup parameters"
2012,Total Biomass,Cool temperate steppe,649899.6469261978,41655.13748523966,15.60190857985974,"Modified Decay, Turnover and Spinup parameters"
2012,Total Biomass,Cool temperate wet forest,2878019.684971777,184465.87289243183,15.601908579859893,"Modified Decay, Turnover and Spinup parameters"
2012,Total Biomass,Polar rain tundra,6467753.260912804,414548.8500850433,15.601908579859687,"Modified Decay, Turnover and Spinup parameters"
